reis	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=n
De	de	PRE	MORPH=empty
paraïs	paradis	NOMcom	NOMB.=s|GENRE=m|CAS=r
k	que1	CONsub	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
se	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
feist	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
en	en1	PRE	MORPH=empty
funz	font1	NOMcom	NOMB.=s|GENRE=m|CAS=r
tenir	tenir1	VERinf	MORPH=empty
e	et	CONcoo	MORPH=empty
baptizier	batisier	VERinf	MORPH=empty
baptizier	batisier	VERinf	MORPH=empty
e	et	CONcoo	MORPH=empty
tenir	tenir1	VERinf	MORPH=empty
co	ce1	PROdem	NOMB.=s|GENRE=n|CAS=n
fud	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
en	en1	PRE	MORPH=empty
duze	douz	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
france	France	NOMpro	NOMB.=s|GENRE=f|CAS=r
el	en1+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r
mustier	mostier	NOMcom	NOMB.=s|GENRE=m|CAS=r
sain	saint	NOMpro	NOMB.=s|GENRE=m|CAS=r
seint_denise	Saint-Denis	NOMpro	NOMB.=s|GENRE=m|CAS=r
e	et	CONcoo	MORPH=empty
k	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
ice	ice2	PROdem	NOMB.=s|GENRE=m|CAS=n
vodert	voloir	VERcjg	MODE=con|PERS.=3|NOMB.=s
a	a3	PRE	MORPH=empty
mençunge	mençogne	NOMcom	NOMB.=s|GENRE=f|CAS=r
tenir	tenir1	VERinf	MORPH=empty
s	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
voist	vëoir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
lire	lire1	VERinf	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=f|CAS=r
estoire	estoire1	NOMcom	NOMB.=s|GENRE=f|CAS=r
en	en1	PRE	MORPH=empty
france	France	NOMpro	NOMB.=s|GENRE=f|CAS=r
a	a3	PRE	MORPH=empty
paris	Paris	NOMpro	NOMB.=s|GENRE=m|CAS=r
cil	cel	DETdem	NOMB.=s|GENRE=m|CAS=n
Cloovis	Clovis	NOMpro	NOMB.=s|GENRE=m|CAS=n
esta	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
rei	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=n
et	et	CONcoo	MORPH=empty
pruz	pro	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
et	et	CONcoo	MORPH=empty
poustéiz	pöestëif	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
De	de	PRE	MORPH=empty
sa	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r
franche	franc1	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
moiller	moillier1	NOMcom	NOMB.=s|GENRE=f|CAS=r
out	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
quatre	catre	DETcar	NOMB.=p|GENRE=m|CAS=r
fiz	fil2	NOMcom	NOMB.=p|GENRE=m|CAS=r
gentiz	gentil	ADJqua	NOMB.=p|GENRE=m|CAS=r|DEGRE=p
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n
ainez	ainzné	NOMcom	NOMB.=s|GENRE=m|CAS=n
out	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
en	en1	PRE	MORPH=empty
nun	nom	NOMcom	NOMB.=s|GENRE=m|CAS=r
Floovans	Floovant	NOMpro	NOMB.=s|GENRE=m|CAS=r
li	le	DETdef	NOMB.=s|GENRE=m|CAS=r
marchis	marchis	NOMcom	NOMB.=s|GENRE=m|CAS=r
a	a3	PRE	MORPH=empty
celui	cel	PROdem	NOMB.=s|GENRE=m|CAS=r
commandai	comander	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
A	a3	PRE	MORPH=empty
guarder	garder	VERinf	MORPH=empty
sis	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
pais	päis	NOMcom	NOMB.=s|GENRE=m|CAS=r
et	et	CONcoo	MORPH=empty
trestute	trestot	DETind	NOMB.=s|GENRE=f|CAS=r
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
terre	terre	NOMcom	NOMB.=s|GENRE=f|CAS=r
k	que2	PROrel	NOMB.=s|GENRE=f|CAS=r
en	en1	PRE	MORPH=empty
pié	pié	NOMcom	NOMB.=s|GENRE=m|CAS=r
le	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=r
tint	tenir1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
par	par	PRE	MORPH=empty
un	un	DETndf	NOMB.=s|GENRE=m|CAS=r
mesfait	mesfait	NOMcom	NOMB.=s|GENRE=m|CAS=r
e	en2	PROadv	MORPH=empty
fut	fuir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
puis	puis	ADVgen	DEGRE=-
issi	issi	ADVgen	DEGRE=-
maubailiz	maubaillir	VERppe	NOMB.=s|GENRE=m|CAS=n
plus	plus	ADVgen	DEGRE=-
d	de	PRE	MORPH=empty
vii	set	DETcar	NOMB.=p|GENRE=m|CAS=r
anz	an	NOMcom	NOMB.=p|GENRE=m|CAS=r
in	en2	PROadv	MORPH=empty
fust	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
l	le	DETdef	NOMB.=s|GENRE=m|CAS=n
bier	baron	NOMcom	NOMB.=s|GENRE=m|CAS=n
pus	puis	ADVgen	DEGRE=-
en	en1	PRE	MORPH=empty
essil	essil	NOMcom	NOMB.=s|GENRE=m|CAS=r
k	que4	CONsub	MORPH=empty
i	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
nen	ne1	ADVneg	MORPH=empty
entra	entrer	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
en	en1	PRE	MORPH=empty
france	France	NOMpro	NOMB.=s|GENRE=f|CAS=r
ne	ne2	CONcoo	MORPH=empty
nul	nul	DETind	NOMB.=s|GENRE=m|CAS=n
ume	ome	NOMcom	NOMB.=s|GENRE=m|CAS=n
ne	ne1	ADVneg	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
i	i2	PROadv	MORPH=empty
vit	vëoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
or	or4	ADVgen	DEGRE=-
entendez	entendre	VERcjg	MODE=imp|PERS.=2|NOMB.=p
seignurs	seignor	NOMcom	NOMB.=p|GENRE=m|CAS=n
por	por2	PRE	MORPH=empty
deu	Dieu	NOMpro	NOMB.=s|GENRE=m|CAS=r
d	de	PRE	MORPH=empty
maïsté	majesté	NOMcom	NOMB.=s|GENRE=f|CAS=r
li	le	DETdef	NOMB.=s|GENRE=m|CAS=r
glorious	glorïos	NOMcom	NOMB.=s|GENRE=m|CAS=r
del	de+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r
cil	ciel	NOMcom	NOMB.=s|GENRE=m|CAS=r
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
en	en1	PRE	MORPH=empty
croiz	croiz	NOMcom	NOMB.=s|GENRE=f|CAS=r
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
penez	pener	VERppe	NOMB.=s|GENRE=m|CAS=n
du	de+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r
premir	premier	ADJord	NOMB.=s|GENRE=m|CAS=r
rei	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=r
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
fud	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
en	en1	PRE	MORPH=empty
france	France	NOMpro	NOMB.=s|GENRE=f|CAS=r
coronez	coroner	VERppe	NOMB.=s|GENRE=m|CAS=n
k	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
primerement	premierement	ADVgen	DEGRE=-
tint	tenir1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
sainte	saint	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
cristïenté	crestïenté	NOMcom	NOMB.=s|GENRE=f|CAS=r
cil	cel	PROdem	NOMB.=s|GENRE=m|CAS=n
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
par	par	PRE	MORPH=empty
sun	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
nun	nom	NOMcom	NOMB.=s|GENRE=m|CAS=r
Cloovis	Clovis	NOMpro	NOMB.=s|GENRE=m|CAS=r
apelez	apeler	VERppe	NOMB.=s|GENRE=m|CAS=n
XXVI	vint+sis2	DETcar	NOMB.=p|GENRE=m|CAS=r
anz	an	NOMcom	NOMB.=p|GENRE=m|CAS=r
e	et	CONcoo	MORPH=empty
plus	plus	ADVgen	DEGRE=-
fut	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
sarazin	Sarrasin	NOMpro	NOMB.=s|GENRE=m|CAS=n
clamez	clamer	VERppe	NOMB.=s|GENRE=m|CAS=n
Ne	ne2	CONcoo	MORPH=empty
ni	ne1	ADVneg	MORPH=empty
trovoit	trover	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
nul	nul	DETind	NOMB.=s|GENRE=m|CAS=r
humme	ome	NOMcom	NOMB.=s|GENRE=m|CAS=r
s	se	CONsub	MORPH=empty
fust	estre1	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s
crestienez	crestïener	VERppe	NOMB.=s|GENRE=m|CAS=n
A	a3	PRE	MORPH=empty
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=i
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
ne	ne1	ADVneg	MORPH=empty
façoit	faire	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s
tut	tot	DETind	NOMB.=p|GENRE=m|CAS=r
les	le	DETdef	NOMB.=p|GENRE=m|CAS=r
membre	membre	NOMcom	NOMB.=p|GENRE=m|CAS=r
colper	coper	VERinf	MORPH=empty
u	o3	CONcoo	MORPH=empty
pandre	pendre	VERinf	MORPH=empty
A	a3	PRE	MORPH=empty
haltes	haut	ADJqua	NOMB.=p|GENRE=f|CAS=r|DEGRE=p
furches	forche	NOMcom	NOMB.=p|GENRE=f|CAS=r
ardoir	ardre	VERinf	MORPH=empty
u	o3	CONcoo	MORPH=empty
traïner	träiner	VERinf	MORPH=empty
dampnedeu	Damnedeu	NOMpro	NOMB.=s|GENRE=m|CAS=n
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
amai	amer1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
tant	tant	ADVgen	DEGRE=-
por	por2	PRE	MORPH=empty
l	le	DETdef	NOMB.=s|GENRE=f|CAS=r
sue	suen	ADJpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r
bonté	bonté	NOMcom	NOMB.=s|GENRE=f|CAS=r
qu	que1	CONsub	MORPH=empty
i	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
sei	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
Fist	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
en	en1	PRE	MORPH=empty
funz	font1	NOMcom	NOMB.=s|GENRE=m|CAS=r
tenir	tenir1	VERinf	MORPH=empty
e	et	CONcoo	MORPH=empty
baptizier	batisier	VERinf	MORPH=empty
A	a3	PRE	MORPH=empty
san	saint	NOMpro	NOMB.=s|GENRE=m|CAS=r
saintdenise	Saint-Denis	NOMpro	NOMB.=s|GENRE=m|CAS=r
en	en1	PRE	MORPH=empty
france	France	NOMpro	NOMB.=s|GENRE=f|CAS=r
k	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
tan	tant	ADVgen	DEGRE=-
feit	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
a	a3	PRE	MORPH=empty
loer	löer1	VERinf	MORPH=empty
icil	icel	DETdem	NOMB.=s|GENRE=m|CAS=n
reis	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=n
Cloovis	Clovis	NOMpro	NOMB.=s|GENRE=m|CAS=n
feist	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
mult	mout	ADVgen	DEGRE=-
A	a3	PRE	MORPH=empty
redoter	redoter1	VERinf	MORPH=empty
De	de	PRE	MORPH=empty
s	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r
franche	franc1	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
moilier	moillier1	NOMcom	NOMB.=s|GENRE=f|CAS=r
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
iiii	catre	DETcar	NOMB.=p|GENRE=m|CAS=r
fiz	fil2	NOMcom	NOMB.=p|GENRE=m|CAS=r
le	le	DETdef	NOMB.=s|GENRE=m|CAS=n
bers	baron	NOMcom	NOMB.=s|GENRE=m|CAS=n
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
fist	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
trestut	trestot	DETind	NOMB.=s|GENRE=m|CAS=r
li	le	DETdef	NOMB.=s|GENRE=m|CAS=r
ené	ainzné	NOMcom	NOMB.=s|GENRE=m|CAS=r
Floovam	Floovant	NOMpro	NOMB.=s|GENRE=m|CAS=r
apeler	apeler	VERinf	MORPH=empty
A	a3	PRE	MORPH=empty
celui	cel	PROdem	NOMB.=s|GENRE=m|CAS=r
commandai	comander	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
s	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r
terre	terre	NOMcom	NOMB.=s|GENRE=f|CAS=r
et	et	CONcoo	MORPH=empty
sis	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
regné	regné	NOMcom	NOMB.=s|GENRE=m|CAS=r
e	et	CONcoo	MORPH=empty
que	que4	CONsub	MORPH=empty
aprés	après	PRE	MORPH=empty
sa	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r
mort	mort	NOMcom	NOMB.=s|GENRE=f|CAS=r
in	en2	PROadv	MORPH=empty
feust	estre1	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s
reis	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=n
coronez	coroner	VERppe	NOMB.=s|GENRE=m|CAS=n
por	por2	PRE	MORPH=empty
un	un	DETndf	NOMB.=s|GENRE=m|CAS=r
mesfait	mesfait	NOMcom	NOMB.=s|GENRE=m|CAS=r
in	en2	PROadv	MORPH=empty
fut	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
puis	puis	ADVgen	DEGRE=-
issi	issi	ADVgen	DEGRE=-
maumenez	maumener	VERppe	NOMB.=s|GENRE=m|CAS=n
ke	que4	CONsub	MORPH=empty
plus	plus	ADVgen	DEGRE=-
d	de	PRE	MORPH=empty
vii	set	DETcar	NOMB.=p|GENRE=m|CAS=r
anz	an	NOMcom	NOMB.=p|GENRE=m|CAS=r
fud	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
fors	fors1	ADVgen	DEGRE=-
d	de	PRE	MORPH=empty
france	France	NOMpro	NOMB.=s|GENRE=f|CAS=r
juté	jeter	VERppe	NOMB.=s|GENRE=m|CAS=n
qu	que4	CONsub	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
nen	ne1	ADVneg	MORPH=empty
i	i2	PROadv	MORPH=empty
osad	oser	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
unc	onque	ADVgen	DEGRE=-
Ne	ne2	CONcoo	MORPH=empty
venir	venir	VERinf	MORPH=empty
Ne	ne2	CONcoo	MORPH=empty
aler	aler	VERinf	MORPH=empty
co	ce1	PROdem	NOMB.=s|GENRE=n|CAS=n
esta	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
A	a3	PRE	MORPH=empty
Pantecouste	pentecoste1	NOMpro	NOMB.=s|GENRE=f|CAS=r
une	un	DETndf	NOMB.=s|GENRE=f|CAS=r
feste	feste1	NOMcom	NOMB.=s|GENRE=f|CAS=r
en	en1	PRE	MORPH=empty
estez	esté1	NOMcom	NOMB.=s|GENRE=m|CAS=r
que	que4	CONsub	MORPH=empty
rei	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=n
Cloovis	Clovis	NOMpro	NOMB.=s|GENRE=m|CAS=n
fut	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
A	a3	PRE	MORPH=empty
paris	Paris	NOMpro	NOMB.=s|GENRE=m|CAS=r
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r
cite	cité	NOMcom	NOMB.=s|GENRE=f|CAS=r
XIIII	catorze	DETcar	NOMB.=p|GENRE=m|CAS=n
reis	roi2	NOMcom	NOMB.=p|GENRE=m|CAS=n
i	i2	PROadv	MORPH=empty
furent	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
ovec	avuec	PRE	MORPH=empty
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
coronez	coroner	VERppe	NOMB.=p|GENRE=m|CAS=n
Senechaul	Senechaul	NOMpro	NOMB.=s|GENRE=m|CAS=r
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
l	le	DETdef	NOMB.=s|GENRE=m|CAS=n
rei	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=n
meintenant	maintenant	ADVgen	DEGRE=-
apelez	apeler	VERppe	NOMB.=s|GENRE=m|CAS=r
un	un	DETndf	NOMB.=s|GENRE=m|CAS=r
duc	duc2	NOMcom	NOMB.=s|GENRE=m|CAS=r
prouz	pro	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
e	et	CONcoo	MORPH=empty
puisant	poissant	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
k	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
De	de	PRE	MORPH=empty
burgonie	Borgogne	NOMpro	NOMB.=s|GENRE=f|CAS=r
esteit	estre1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
né	naistre	VERppe	NOMB.=s|GENRE=m|CAS=n
antrecique	entreci	ADVgen	DEGRE=-
a	a3	PRE	MORPH=empty
Vianne	Vianne	NOMpro	NOMB.=s|GENRE=f|CAS=r
durai	durer	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p
sa	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=n
duchaeez	duchëé	NOMcom	NOMB.=p|GENRE=f|CAS=n
dit	dire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
l	le	DETdef	NOMB.=s|GENRE=m|CAS=n
reis	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=n
Cloovis	Clovis	NOMpro	NOMB.=s|GENRE=m|CAS=n
Senechaul	Senechaul	NOMpro	NOMB.=s|GENRE=m|CAS=n
sa	ça	ADVgen	DEGRE=-
venez	venir	VERcjg	MODE=imp|PERS.=2|NOMB.=p
ju	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=i
coment	comander	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
ici	ici	ADVgen	DEGRE=-
Flovant	Floovant	NOMpro	NOMB.=s|GENRE=m|CAS=r
A	a3	PRE	MORPH=empty
guarder	garder	VERinf	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
unchore	encore	ADVgen	DEGRE=-
joifne	juene	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
meschins	meschin	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
et	et	CONcoo	MORPH=empty
bacheler	bacheler	NOMcom	NOMB.=s|GENRE=m|CAS=n
et	et	CONcoo	MORPH=empty
s	si	ADVgen	DEGRE=-
n	ne1	ADVneg	MORPH=empty
set	savoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
pas	pas	ADVneg	MORPH=empty
bien	bien1	ADVgen	DEGRE=p
son	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
garnemanz	garnement	NOMcom	NOMB.=p|GENRE=m|CAS=r
porter	porter	VERinf	MORPH=empty
sire	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=n
dist	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
Senechaul	Senechaul	NOMpro	NOMB.=s|GENRE=m|CAS=n
a	a3	PRE	MORPH=empty
vos	vostre	DETpos	PERS.=2|NOMB.=p|GENRE=f|CAS=r
volunté	volenté	NOMcom	NOMB.=s|GENRE=f|CAS=r
bien	bien1	ADVgen	DEGRE=p
serra	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
apris	aprendre	VERppe	NOMB.=s|GENRE=m|CAS=n
Le	le	DETdef	NOMB.=s|GENRE=m|CAS=n
emfes	enfant	NOMcom	NOMB.=s|GENRE=m|CAS=n
de	de	PRE	MORPH=empty
quant	cant2	ADVgen	DEGRE=-
que	que1	CONsub	MORPH=empty
mester	mestier	NOMcom	NOMB.=s|GENRE=m|CAS=r
iert	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
Adonques	adonc	ADVgen	DEGRE=-
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
e	en2	PROadv	MORPH=empty
at	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
l	le	DETdef	NOMB.=s|GENRE=m|CAS=n
duc	duc2	NOMcom	NOMB.=s|GENRE=m|CAS=n
meintenant	maintenant	ADVgen	DEGRE=-
apelé	apeler	VERppe	NOMB.=s|GENRE=m|CAS=r
a	a3	PRE	MORPH=empty
son	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
ostel	ostel	NOMcom	NOMB.=s|GENRE=m|CAS=r
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
meine	mener	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
tant	tant	ADVgen	DEGRE=-
Que	que4	CONsub	MORPH=empty
il	il	PROimp	PERS.=0|NOMB.=s|GENRE=n|CAS=n
esta	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
